City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Total score
Cairo,0.21134020618556698,0.01879505664263646,0.21648626144879268,0.07407407407407407,0.06188014915960849,0.010314973356201889,0.06103890126660981
Quito,0.15979381443298968,0.014546858908341915,0.1835970024979184,0.13580246913580246,0.03849842749760221,0.018200765662428266,0.07522358054810574
Karachi,0.10309278350515463,0.01879505664263646,0.12406328059950043,0.37037037037037046,0.015633776256531815,0.0045640621117712735,0.11791904880222999
Lahore,0.16237113402061853,0.01879505664263646,0.1835970024979184,0.3641975308641976,0.017316789783499573,0.0029598859466931013,0.12340919113490077
Minsk,0.1829896907216495,0.003990731204943358,0.08825978351373856,0.3024691358024692,0.07511512420842602,0.04185814258110739,0.12835101319604564
Riyadh,0.28092783505154634,1.0,0.6369691923397169,0.0061728395061728366,0.09924913263971546,0.3073070827393057,0.13363934838126243
Lagos,0.5206185567010309,0.06089083419155511,0.23813488759367193,0.20370370370370372,0.21746359722850256,0.05550931990167487,0.1418831917261793
Caracas,0.30927835051546393,0.09410401647785788,0.4096586178184846,0.0,0.30694516823038226,0.09823106408744088,0.1450971776671563
Indore,0.07989690721649485,0.005406797116374871,0.1623646960865945,0.4753086419753087,0.017128211159393548,0.0,0.15080229553897206
Davao,0.04896907216494847,0.0011585993820803278,0.04329725228975854,0.4753086419753087,0.08790197155909911,0.009084702913811114,0.1515307476310849
Kochi,0.0,0.0,0.06203164029975022,0.4753086419753087,0.012235305568341502,0.03638705755494605,0.15958523044489287
Cebu,0.21391752577319584,0.013388259526261588,0.05620316402997502,0.5000000000000001,0.07184845578439582,0.01920186808123645,0.16125834095632402
Kharkiv,0.10309278350515463,0.018022657054582905,0.04746044962531225,0.5000000000000001,0.08158357378797679,0.03258045606848989,0.16922125891641848
Kolkata,0.06185567010309278,0.0077239958805355325,0.11240632805995004,0.49382716049382724,0.024468583409542076,0.03638705755494605,0.17180721488489256
Casablanca,0.28350515463917525,0.027420185375901133,0.05495420482930892,0.4814814814814815,0.17771000663066777,0.026392919431759795,0.17391443508110108
Vadodara,0.03092783505154639,0.004634397528321317,0.1623646960865945,0.4753086419753087,0.0,0.04512197769592058,0.1757748286606592
Medellin,0.1829896907216495,0.02021112255406797,0.22273105745212327,0.4382716049382716,0.028556481325646893,0.04579983258672805,0.17583515219101403
Manila,0.25257731958762886,0.01235839340885685,0.10907577019150709,0.4876543209876544,0.13606049115606808,0.02436176705432247,0.1778314000352973
Chennai,0.015463917525773209,0.0,0.11240632805995004,0.49382716049382724,0.03670388897788358,0.04366495152493228,0.17935111186531305
Gaborone,0.15206185567010308,0.0099124613800206,0.058284762697751874,0.3950617283950617,0.055655026836968706,0.09855189932045652,0.17966254037086993
Hanoi,0.1829896907216495,0.010942327497425337,0.2514571190674438,0.45679012345679015,0.12119319575880592,0.01244020523805733,0.17976168369537154
Porto Alegre,0.13917525773195874,0.043640576725025755,0.1074104912572856,0.5061728395061729,0.07441961379908874,0.04491934491717385,0.1813121434408797
Hyderabad,0.03092783505154639,0.0,0.11240632805995004,0.5185185185185186,0.024468583409542076,0.04366495152493228,0.18409923972974188
Bogota,0.16752577319587628,0.03166838311019567,0.22273105745212327,0.4506172839506173,0.062103199145110234,0.04974152259234869,0.1848158405972672
Dhaka,0.1829896907216495,0.0036045314109165788,0.29308909242298087,0.43209876543209874,0.03897899883000144,0.04218139010910811,0.1855940693896056
Pune,0.06185567010309278,0.0077239958805355325,0.13738551207327226,0.5061728395061729,0.03670388897788358,0.058220739464904726,0.1935077662828071
Jakarta,0.3298969072164948,0.02008238928939238,0.6119900083263946,0.23456790123456792,0.13930891003582993,0.05207179954793593,0.19367260810794013
Mexico City,0.25773195876288657,0.017893923789907316,0.22231473771856786,0.3024691358024692,0.1270208835618244,0.11249255203923358,0.1945220457805426
Delhi,0.06185567010309278,0.0077239958805355325,0.21273938384679436,0.4753086419753087,0.04893919454622507,0.058220739464904726,0.1972277140304554
Chiang Mai,0.11597938144329897,0.022142121524201853,0.3859283930058285,0.462962962962963,0.06195923051810456,0.025876688304952683,0.19731035837525
Varna,0.05927835051546391,0.027291452111225543,0.03871773522064947,0.6296296296296297,0.037512952107112654,0.03936141727154965,0.1990091127616491
Mumbai,0.06185567010309278,0.015576725025746654,0.1623646960865945,0.5061728395061729,0.09788041681959109,0.052399871665906796,0.2012824204156185
Ulaanbaatar,0.29639175257731953,0.01879505664263646,0.1835970024979184,0.4382716049382716,0.24066282344782555,0.04974152259234869,0.2044833116820085
Saint Petersburg,0.3788659793814432,0.05651390319258498,0.16944213155703583,0.33950617283950624,0.18511526614932586,0.12048930991477362,0.20453651654195865
Kiev,0.1829896907216495,0.030381050463439755,0.07452123230641133,0.5246913580246915,0.17437845093812795,0.0580446419309939,0.20660008124110912
Gurgaon,0.09536082474226804,0.015576725025746654,0.1877601998334721,0.46913580246913583,0.056281594523514535,0.08442067529785813,0.20783034627873928
Kuala Lumpur,0.288659793814433,0.009783728115345003,0.35761865112406327,0.20987654320987653,0.1494718784661461,0.14027495338239943,0.20925833158316448
Nairobi,0.19587628865979384,0.02716271884654995,0.21149042464612824,0.537037037037037,0.10371216007689141,0.04892375459240659,0.21278921588799757
Sofia,0.06958762886597938,0.027291452111225543,0.03871773522064947,0.6419753086419754,0.046368036531532174,0.056216122332303296,0.2137964986303009
Noida,0.09536082474226804,0.015576725025746654,0.175270607826811,0.4382716049382716,0.03670388897788358,0.11644389122479455,0.21430463752537002
Cordoba,0.3479381443298969,0.02716271884654995,0.08825978351373856,0.5308641975308643,0.08194450921906143,0.09705627642970693,0.2199152143800815
Colombo,0.2422680412371134,0.006951596292481979,0.37593671940049966,0.46913580246913583,0.12028882945395336,0.04974152259234869,0.2227181499913355
Pattaya,0.13917525773195874,0.01776519052523172,0.32889258950874267,0.49382716049382724,0.13460863852316574,0.05337202654489402,0.22595260927187746
Bucharest,0.1984536082474227,0.03964984552008239,0.033721898417985015,0.6790123456790124,0.07873664488211808,0.06332033106336377,0.22990611682153317
Buenos Aires,0.38144329896907214,0.047245108135942335,0.07535387177352207,0.5061728395061729,0.09531736971346187,0.12945581037431586,0.22995032913803173
Belo Horizonte,0.2010309278350515,0.04994850669412977,0.24979184013322236,0.5123456790123457,0.13045788106569225,0.0808142942951636,0.2310867076122925
