City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income
Ulaanbaatar,1.75,3.27,6.54,0.78,1307.54,326.88
Utrecht,2.13,6.82,4.26,1.45,1193.48,1611.19
Vadodara,0.72,2.17,6.03,0.84,120.68,307.73
Valencia,1.28,6.82,4.26,1.24,596.74,1193.48
Vancouver,2.55,7.97,12.75,0.89,1848.79,1657.53
Varna,0.83,3.93,3.06,1.09,305.68,283.85
Venice,1.28,6.82,3.41,1.4,1278.72,1875.46
Victoria,2.39,7.65,9.56,0.83,1083.77,1657.53
Vienna,2.13,7.67,4.26,1.25,1248.9,1619.72
Vilnius,1.23,4.44,4.44,1.19,493.78,457.29
Warsaw,1.66,5.19,5.19,1.18,726.59,664.31
Washington,2.37,7.85,7.85,0.69,2451.63,2484.32
Wellington,2.2,8.82,8.27,1.17,1515.65,1763.67
Zagreb,1.12,3.7,4.48,1.23,504.36,605.23
Zurich,3.28,12.59,8.4,1.31,2378.61,4197.55
